title	url	tags
Распространение крупного пожара в Архангельске остановлено	https://www.vesti.ru/article/3690488	происшествия,производство,пожар,видео,общество,новости,Архангельск
"Осужденные администраторы ""Адских бабок"" обжалуют приговор"	https://www.vesti.ru/article/3690453	происшествия,вымогательство,приговор,обжалование,общество,Москва,новости,соцсети
Республиканцы покинули брифинг о помощи Украине и Израилю	https://www.vesti.ru/article/3690487	в мире,политика,помощь,Украина,Израиль,финансирование, США/Америка,Джозеф Байден,общество,новости
Среди погибших в боях израильтян могут быть выходцы из СССР	https://www.vesti.ru/article/3690440	в мире,политика,Советский Союз/СССР,Израиль,фамилия,сектор Газа,ХАМАС,погибшие,общество,новости
Умер основатель и участник легендарной рок-группы Wings Дэнни Лейн	https://www.vesti.ru/article/3690485	в мире,культура,смерть/кончина,болезнь,музыкант,шоу-бизнес,творчество,рок-группа,гитарист,музыка,Пол Маккартни,общество,новости
Рабочие на Камчатке, госпитализированные с отравлением, идут на поправку	https://www.vesti.ru/article/3690451	происшествия,отравление,строитель,аэропорт,общество,Камчатка,новости
Суд в Перу потребовал досрочно освободить из тюрьмы экс-президента	https://www.vesti.ru/article/3690438	в мире,происшествия,президент,заключенный,освобождение,Перу,общество,новости
У Украины закончатся деньги после декабря 2023 года	https://www.vesti.ru/article/3690439	в мире,политика,помощь,финансы,Украина,финансирование, США/Америка,общество,новости,ВСУ / Вооруженные силы Украины
Байден не может позволить победить Трампу на предстоящих выборах	https://www.vesti.ru/article/3690441	в мире,политика,президент,выборы,Дональд Трамп, США/Америка,Джозеф Байден,общество,новости
На Камчатке 41 строитель аэропорта госпитализирован из-за пищевого отравления	https://www.vesti.ru/article/3690437	происшествия,отравление,строитель,аэропорт,общество,Камчатка,новости
Задержан босниец, помогавший бежать Артему Уссу из Италии	https://www.vesti.ru/article/3690447	в мире,происшествия,побег,Италия,задержание,россиянин/россиянка,обвиняемый,общество,новости,Александр Усс
Посол Израиля Александр Бен Цви заявил о завершении своей миссии в России	https://www.vesti.ru/article/3690448	в мире,политика,Израиль,международные отношения,посол,дипломатия,общество,Россия,новости
"""Десять дивизий"" украинских уклонистов находятся в Германии"	https://www.vesti.ru/article/3690436	в мире,Германия,Украина,беженцы,общество,новости
И вкусно, и полезно: топ-5 целебных видов чая	https://www.vesti.ru/article/3690240	здоровье,Михаил Полицеймако,Сергей Агапкин,чай,Россия 1,ЗОЖ/Здоровый образ жизни,общество,новости,медицина,Только у нас,новости/шоу
Бывший президент Польши Валенса попал в больницу с коронавирусом	https://www.vesti.ru/article/3690382	в мире,здоровье,президент,Польша,коронавирус,общество,новости,COVID-19
Нетаньяху заявил, что войска ХАМАС лишились половины командиров	https://www.vesti.ru/article/3690381	в мире,политика,Израиль,командование,ликвидация,сектор Газа,Биньямин Нетаньяху,общество,новости
В пригороде Вашингтона один человек погиб в результате взрыва жилого дома	https://www.vesti.ru/article/3690421	в мире,происшествия,взрыв,пострадавшие,Вашингтон, США/Америка,погибшие,общество,новости,жилой дом
Восстановление жилого фонда в Шебекинском городском округе близится к завершению	https://www.vesti.ru/article/3690383	жилье,дом,ремонт,восстановление,губернатор,общество,новости,Белгородская область,Шебекино,Вячеслав Гладков
Крупный пожар в производственном здании тушат в Архангельске	https://www.vesti.ru/article/3690419	происшествия,производство,пожар,видео,общество,новости,Архангельск
В Румынии объявлена общенациональная эпидемия кори	https://www.vesti.ru/article/3690418	политика,здоровье,вакцина,Румыния,прививка,корь,новости
"Ковальчук высказался о возвращении в ""Спартак"""	https://www.vesti.ru/article/3690431	спорт,футбол,хоккей,КХЛ,Илья Ковальчук,новости,Спартак хоккей
Совбез ООН по запросу РФ проведет заседание по поставкам оружия Киеву	https://www.vesti.ru/article/3690412	политика,оружие,Украина,ООН,Запад,заседание,Совбез/Совет Безопасности,Россия,новости,Дмитрий Полянский
"Хоккеисты ""Северстали"" нанесли поражение ""Ак Барсу"""	https://www.vesti.ru/article/3690402	спорт,хоккей,КХЛ,новости,Северсталь хоккей,Ак Барс хоккей
В Италии ловят людей, помогавших бежать россиянину Артему Уссу	https://www.vesti.ru/article/3690401	происшествия,побег,Италия,задержание,россиянин/россиянка,домашний арест,общество,новости
Навострили лыжи: украинская элита едет на курорт вместо передовой	https://www.vesti.ru/article/3690332	политика,война,отдых,Украина,Владимир Зеленский,Закарпатье,элита,новости,курорт
"США сделали РФ ""существенное предложение"" по обмену Уилана и Гершковича"	https://www.vesti.ru/article/3690404	шпионаж,обмен, США/Америка,Пол Уилан,общество,Россия,новости,события дня
В работе приложения и сайта Альфа-банка произошел сбой	https://www.vesti.ru/hitech/article/3690393	сайт,сбой,приложение,общество,новости,Альфа-Банк,события дня
Глава ФБР пожаловался, что в США слишком много российских разведчиков	https://www.vesti.ru/article/3690400	политика,разведка,ФБР,жалоба, США/Америка,Россия,новости
"""Спартак"" выиграл дерби у ""Динамо"", команды забросили 15 шайб"	https://www.vesti.ru/article/3690394	спорт,хоккей,КХЛ,новости,Динамо Москва хоккей,Спартак хоккей
В офисе Зеленского признали, что Украину ждет поражение без денег США	https://www.vesti.ru/article/3690351	политика,помощь,Украина, США/Америка,поражение,общество,новости,события дня
ХАМАС не отпустит заложников, пока Израиль не прекратит агрессию	https://www.vesti.ru/article/3690272	политика,заложники,Израиль,сектор Газа,ХАМАС,общество,новости,события дня
Почти 30-летний срок получил бывший солдат ВСУ, убивший мариупольцев	https://www.vesti.ru/article/3690298	убийство,видео,приговор,Мариуполь,общество,новости,ВСУ / Вооруженные силы Украины,пленные
"Как не стать жертвой ""чужого"": чем опасен отдых в экзотических странах"	https://www.vesti.ru/article/3690266	здоровье,туризм,отдых,опасность,малярия,личинка,лихорадка,общество,Россия,Москва,новости,медицина
Минобороны сообщило о шести дронах, атаковавших Белгородскую область	https://www.vesti.ru/article/3690273	происшествия,противовоздушная оборона/ПВО,уничтожение,перехват,общество,новости,беспилотник/БПЛА,Минобороны РФ
"Потерял руки, но продолжил ""воевать в тылу"": история Героя России Шоломова"	https://www.vesti.ru/article/3690317	подвиг,офицер,Украина,спецоперация,Герой России,общество,новости
Brexit не помог: в Британии – застой в экономике и расисты в королевской семье	https://www.vesti.ru/article/3690233	Европа,Великобритания,расизм,мигранты,общество,новости,Карл III,экономика
"""Спартак"" объявил о возвращении Ильи Ковальчука"	https://www.vesti.ru/article/3690342	спорт,хоккей,КХЛ,Илья Ковальчук,новости,Спартак хоккей
"США вводят санкции против причастных к ""подрыву мира"" на Западном берегу"	https://www.vesti.ru/article/3690242	политика,насилие,Палестина,санкции, США/Америка,общество,новости,события дня
"Наши военные между боями изучают новые дроны и смотрят ""Россию 24"""	https://www.vesti.ru/article/3690286	Украина,спецоперация,Донбасс,общество,Россия,новости,беспилотник/БПЛА,ВСУ / Вооруженные силы Украины,Херсонская область
Россия воссоединила уже 46 украинских семей	https://www.vesti.ru/article/3690256	политика,семья,Украина,посольство,омбудсмен,Катар,дети,воссоединение,общество,Россия,Москва,новости,события дня
Число раненых в аварии на Кубани выросло до 16 человек, возбуждено дело	https://www.vesti.ru/article/3690330	происшествия,ДТП,видео,уголовное дело,пострадавшие,Краснодарский край/Кубань,погибшие,общество,новости
"Лауреатом премии ""Большая книга"" стал Евгений Водолазкин с романом ""Чагин"""	https://www.vesti.ru/article/3690329	культура,премия,Большая книга,общество,Россия,новости,события дня
"Украина потратила $93 млрд на оборону и ""критически важные расходы"" в 2023 году"	https://www.vesti.ru/article/3690268	оборона,Украина,финансирование,общество,новости,ВСУ / Вооруженные силы Украины
Над Белгородской областью сбиты три дрона ВСУ	https://www.vesti.ru/article/3690302	происшествия,общество,новости,беспилотник/БПЛА,Белгородская область
ЦАХАЛ приступил к третьей фазе операции в Газе и окружает Хан-Юнис	https://www.vesti.ru/article/3690220	происшествия,политика,Израиль,сектор Газа,ХАМАС,новости,события дня
Москвичей предупредили о густом тумане до утра среды	https://www.vesti.ru/article/3690252	прогноз,туман,погода,общество,Москва,новости,события дня
"СКА прервал серию из 11 побед, уступив ""Автомобилисту"""	https://www.vesti.ru/article/3690307	спорт,хоккей,КХЛ,новости,СКА хоккей,Автомобилист хоккей
Госдума прекратила полномочия депутата от КПРФ Блоцкого	https://www.vesti.ru/article/3690254	Госдума/Государственная дума,депутат,общество,Россия,новости
Под Владимиром парень пролежал в лесу три дня в беспомощном состоянии	https://www.vesti.ru/article/3690225	происшествия,спасение,лес,пропажа,общество,новости,Владимирская область,поиски
США расширили санкции против России и Белоруссии	https://www.vesti.ru/article/3690184	политика,Белоруссия,санкции, США/Америка,общество,Россия,новости,события дня
Страны Балтии выразили недовольство Польше из-за блокады границы с Украиной	https://www.vesti.ru/article/3690183	политика,Польша,Украина,блокада,Прибалтика,граница,новости,недовольство
Путин рассказал про самое теплое воспоминание из детства	https://www.vesti.ru/article/3690195	семья,воспоминания,Владимир Путин,детство,мама,общество,Россия,новости,события дня
В МОК призвали не признавать международные турниры в России	https://www.vesti.ru/article/3690215	спорт,МОК/Международный олимпийский комитет,новости,события дня
На Урале женщина устроила взрыв в квартире, залив кипящее масло водой	https://www.vesti.ru/article/3690187	происшествия,взрыв,разрушение,масло,госпитализация,общество,новости,Свердловская область,жилой дом
Госдеп США объявил награду за данные о местонахождении Артема Усса	https://www.vesti.ru/article/3690079	сын,награда, США/Америка,Госдепартамент,общество,новости,Александр Усс
"Лидер Востока КХЛ ""Металлург"" дома проиграл ЦСКА"	https://www.vesti.ru/article/3690189	спорт,хоккей,КХЛ,новости,ЦСКА хоккей,Металлург Магнитогорск хоккей
Телеграм-канал впервые оштрафовали за рекламу без маркировки	https://www.vesti.ru/article/3690165	реклама,штраф,ФАС/Федеральная антимонопольная служба,мессенджеры,Telegram,общество,Россия,новости,интернет
"На Кубе теперь можно расплачиваться картами ""Мир"""	https://www.vesti.ru/finance/article/3690154	Куба,банковские карты,Гавана,Мир,новости,события дня,экономика
Путин: Киев целенаправленно корежил население Донбасса русофобией	https://www.vesti.ru/article/3690136	политика,история,образование,Владимир Путин,Украина,рознь,движение,фейк,общество,Россия,новости,события дня
Три человека погибли в столкновении бензовоза и маршрутки на Кубани	https://www.vesti.ru/article/3690168	происшествия,авария,ДТП,маршрутка,Краснодарский край/Кубань,новости
Открыт прием заявок на III Национальную премию интернет-контента	https://www.vesti.ru/television/article/3690147	премия,общество,новости,интернет,новости/кино,новости/шоу
"Хоккеисты ""Авангарда"" забросили пять шайб в ворота ""Барыса"""	https://www.vesti.ru/article/3690149	спорт,хоккей,КХЛ,новости,Барыс хоккей,Авангард хоккей
В России выявлены случаи заболевания микоплазменной инфекцией	https://www.vesti.ru/article/3690127	здоровье,здравоохранение,заболевание,инфекция,пневмония,общество,Россия,новости,события дня
"Каспийская ""пятерка"" выступила за активизацию диалога по военной деятельности"	https://www.vesti.ru/article/3690064	политика,Сергей Лавров,Каспий,Иран,новости
Мишустин: вопросы комплектования личного состава ВС РФ экипировкой решены	https://www.vesti.ru/article/3690054	оборона,производство,правительство,спецоперация,гособоронзаказ,Михаил Мишустин,общество,Россия,новости,события дня,экономика
"Путин прибыл в Пятигорск на заседание набсовета ""Движения первых"""	https://www.vesti.ru/article/3690106	Владимир Путин,общество,Россия,Ставропольский край,новости,Пятигорск,события дня
Такси загорелось после взрыва на Волгоградском проспекте	https://www.vesti.ru/article/3690103	происшествия,пожар,взрыв,такси,Волгоградский проспект,Москва,новости
В Томске произвели авиатопливо из биомасел и кулинарных отходов	https://www.vesti.ru/nauka/article/3690085	наука,авиация,производство,топливо,биотопливо,Россия,новости
Лионель Месси – спортсмен года по версии журнала Time	https://www.vesti.ru/article/3690093	спорт,футбол,Лионель Месси,новости,Сборная Аргентины футбол
Производство бронетанковой техники в РФ увеличилось втрое	https://www.vesti.ru/article/3690033	производство,бронетехника,Михаил Мишустин,ОПК/оборонно-промышленный комплекс,новости,экономика
"""Сибирь"" потерпела четвертое поражение кряду в КХЛ"	https://www.vesti.ru/article/3690032	спорт,хоккей,КХЛ,новости,Динамо Минск хоккей,Сибирь хоккей
Эдгард Запашный высказался об уехавших артистах	https://www.vesti.ru/television/article/3689877	шоу-бизнес,Эдгард Запашный,общество,новости,новости/шоу
Welt: Зеленский, похоже, забыл про свое обещание не идти на второй срок	https://www.vesti.ru/article/3690015	политика,президент,Украина,Владимир Зеленский,общество,новости
Гусар попытался украсть из Театра Наций новые кроссовки	https://www.vesti.ru/article/3690001	происшествия,кража,Театр Наций,гусары,кроссовки,общество,Москва,новости
Банки Кипра под давлением США закроют счета россиян	https://www.vesti.ru/finance/article/3690020	депозит,Кипр, США/Америка,новости,экономика
"Украинская ""Мотор Сич"" безуспешно ищет партнеров на Западе"	https://www.vesti.ru/article/3689934	производство,Украина,двигатели,общество,новости
Депутат Рады Безуглая предложила волонтерам уйти на фронт	https://www.vesti.ru/article/3689986	женщины,Украина,Верховная рада,общество,новости,волонтеры
В США заявили, что сделают из Украины главного поставщика энергии в ЕС	https://www.vesti.ru/article/3689972	Украина,энергетика,ЕС/Евросоюз, США/Америка,общество,новости,события дня
Житель Кубани метнул гранату в обидевшего его электрика	https://www.vesti.ru/article/3689998	происшествия,конфликт,ссора,граната,Краснодарский край/Кубань,новости
Курс евро на Мосбирже поднялся до 100 рублей, доллара – до 92 рублей	https://www.vesti.ru/finance/article/3689993	рубль,евро,доллар,юань,новости,экономика
"""Давай, подъезжай"". Соловьев ответил Милохину, вызвавшему его на бой"	https://www.vesti.ru/article/3689949	спорт,политика,Владимир Соловьев,MMA,общество,новости,Даня Милохин,события дня
Николас Кейдж собирается завершить актерскую карьеру	https://www.vesti.ru/television/article/3689662	актер/актриса,шоу-бизнес,Николас Кейдж,Голливуд,общество,новости,новости/кино
Протестующие в Молдавии фермеры привезли Санду навоз	https://www.vesti.ru/article/3689899	политика,фермер,протест,Молдавия,навоз,общество,новости,Майя Санду,события дня
Страны Персидского залива направят еще $1,6 млрд на восстановление сектора Газа	https://www.vesti.ru/article/3689954	политика,финансирование,Персидский залив,сектор Газа,общество,новости
Охранникам объектов ТЭК разрешили уничтожать БПЛА	https://www.vesti.ru/article/3689839	закон,охрана,Госдума/Государственная дума,ТЭК,общество,новости,беспилотник/БПЛА
Жительнице ДНР исправили в паспорте несуществующую дату	https://www.vesti.ru/article/3689799	ошибка,паспорт,Донецкая народная республика/ДНР,общество,Россия,новости
Россия выделила 21 триллион рублей за пять лет на выполнение нацпроектов	https://www.vesti.ru/article/3689887	Михаил Мишустин,общество,Россия,новости,нацпроект
В России увеличат штрафы за самовольную установку газового оборудования	https://www.vesti.ru/finance/article/3689965	газ,Госдума/Государственная дума,общество,новости,экономика
Под Стерлитамаком нашли расчлененное тело девушки	https://www.vesti.ru/article/3689901	происшествия,убийство,Башкортостан/Башкирия,новости,девушка
